,Hospital Name,City,StaffedBeds,TotalDischarges,PatientDays,Gross PatientRevenue ($000)
54,Saint Francis Medical Center,Trenton,130,4141,21194,"$782,781"
55,Saint Joseph's University Medical Center,Paterson,697,33009,187142,"$3,914,809"
56,Saint Joseph's Wayne Medical Center,Wayne,141,6040,35308,"$310,154"
57,Saint Luke's Warren Campus,Phillipsburg,92,4248,18464,"$938,173"
58,Saint Mary's General Hospital,Passaic,145,6044,26288,"$630,525"
59,Saint Michael's Medical Center,Newark,147,8370,34843,"$933,529"
60,Saint Peter's University Hospital,New Brunswick,353,18954,89506,"$3,291,434"
61,Salem Medical Center,Salem,126,2647,9081,"$437,495"
62,Shore Medical Center,Somers Point,199,8638,34352,"$1,018,197"
63,Southern Ocean Medical Center,Manahawkin,174,7613,27024,"$943,670"
64,The University Hospital,Newark,379,16180,103930,"$2,705,727"
65,The Valley Hospital,Ridgewood,363,20249,91764,"$2,379,918"
66,Trinitas Regional Medical Center,Elizabeth,442,10723,51849,"$1,497,985"
67,VA New Jersey Health Care System - Lyons Campus,Lyons,0,0,0,$0
68,VA New Jersey Healthcare System - East Orange Campus,East Orange,0,0,0,$0
69,Valley-Mount Sinai Comprehensive Cancer Care,Paramus,0,0,0,$0
70,Virtua Marlton Hospital,Marlton,0,0,0,$0
71,Virtua Memorial Hospital,Mount Holly,339,16955,72528,"$1,824,004"
72,Virtua Our Lady of Lourdes Hospital,Camden,301,11419,53322,"$1,942,386"
73,Virtua Voorhees Hospital,Voorhees,587,35329,144883,"$3,844,933"
74,Virtua Willingboro Hospital,Willingboro,144,5975,30130,"$793,196"
75,T O T A L,,20210,876924,4312872,"$123,883,550"
